ArchiveDate,HospitalName,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
23/12/2021,St. Luke's General Hospital Kilkenny,Adult,696,174,61,9,941
23/12/2021,St. Michael's Hospital,Adult,519,7,7,2,534
23/12/2021,St. Vincent's University Hospital,Adult,109,0,0,0,109
23/12/2021,Tallaght University Hospital,Adult,"1,399",720,173,82,"2,374"
23/12/2021,Tipperary University Hospital,Adult,375,2,0,0,377
23/12/2021,University Hospital Kerry,Adult,423,0,0,0,423
23/12/2021,University Hospital Limerick,Adult,400,140,81,316,937
23/12/2021,University Hospital Waterford,Adult,336,78,28,35,476
23/12/2021,Wexford General Hospital,Adult,523,270,130,105,"1,028"
23/12/2021,Children's Health Ireland,Child,281,94,35,43,454
23/12/2021,Small Volume Hospitals,Child,23,11,3,4,40
